Dataset,N samples,K-Folds,CV MSE,CV MAE,Std MSE,Std MAE
Ex_1.csv,4,4,0.0025,0.0263,0.0042,0.042
Ex_2.csv,4,4,0.3333,0.5377,0.2451,0.2101
Ex_3.csv,3,3,0.2573,0.3613,0.3264,0.356
Ex_4.csv,4,4,0.0471,0.199,0.0329,0.0867
Ext_1.csv,4,4,5.6137,2.1635,3.3993,0.9659
Ext_2.csv,4,4,0.7441,0.6781,0.8953,0.5332
Ext_3.csv,3,3,0.026,0.1274,0.0244,0.0989
Ext_4.csv,4,4,6.9113,2.2189,8.1999,1.4098
ext_Ex_1.csv,4,4,0.8719,0.8205,0.6288,0.4459
ext_Ex_2.csv,4,4,0.1007,0.2771,0.08,0.1545
ext_Ex_3.csv,3,3,0.0005,0.0139,0.0007,0.0175
ext_Ex_4.csv,4,4,1.0515,0.7836,1.3663,0.6614
par_Ex_1.csv,28,5,0.0068,0.068,0.0022,0.0083
par_Ex_2.csv,28,5,0.061,0.2105,0.0146,0.0212
par_Ex_3.csv,21,5,0.0209,0.1109,0.018,0.0592
par_Ex_4.csv,28,5,0.0251,0.1231,0.0174,0.0307
