Dataset,Samples,K-Folds,MSE,MAE,Std_MSE,Std_MAE
Ex_1.csv,4,4,0.0249,0.125,0.0326,0.0965
Ex_2.csv,4,4,0.6441,0.7468,0.4572,0.2941
Ex_3.csv,3,3,3.8565,1.299,5.36,1.4728
Ex_4.csv,4,4,0.1395,0.3474,0.1094,0.1371
Ext_1.csv,4,4,421.3737,12.8051,704.7486,16.0438
Ext_2.csv,4,4,2.9586,1.5305,2.8644,0.785
Ext_3.csv,3,3,1.3438,0.7621,1.8709,0.8735
Ext_4.csv,4,4,13.1298,3.4323,7.2236,1.1616
ext_Ex_1.csv,4,4,71.7044,5.2477,120.2344,6.6458
ext_Ex_2.csv,4,4,0.1676,0.3318,0.1604,0.2398
ext_Ex_3.csv,3,3,0.0639,0.1685,0.0885,0.1883
ext_Ex_4.csv,4,4,2.1115,1.3848,1.1095,0.4404
par_Ex_1.csv,28,5,0.0087,0.0718,0.0043,0.0199
par_Ex_2.csv,28,5,0.0606,0.1985,0.0355,0.0667
par_Ex_3.csv,21,5,0.0246,0.124,0.0182,0.0462
par_Ex_4.csv,28,5,0.0266,0.1193,0.0224,0.0371
